Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub24,9,2,125,7.0,4.0,844.616,391.808
sub24,10,3,87,0.0,9.0,673.7241379310345,559.3678160919541
sub24,11,4,181,7.0,8.0,858.4585635359116,479.61878453038673
sub24,12,1,100,2.0,1.0,760.5,331.9
sub24,13,4,196,5.0,7.0,804.6887755102041,469.8724489795918
sub24,14,3,98,0.0,5.0,709.4081632653061,419.09183673469386
sub24,15,4,148,7.0,6.0,846.9662162162163,429.93918918918916
sub24,16,4,132,5.0,9.0,815.2121212121212,520.439393939394
sub24,17,2,141,9.0,4.0,896.2624113475177,401.02127659574467
sub24,18,1,132,4.0,3.0,801.2727272727273,370.8030303030303
sub24,19,4,126,9.0,7.0,905.0238095238095,468.93650793650795
sub24,20,1,83,3.0,0.0,767.5301204819277,277.28915662650604
sub24,21,3,117,3.0,6.0,772.8974358974359,426.5726495726496
sub24,22,1,64,0.0,1.0,697.0625,334.046875
sub24,23,3,67,1.0,9.0,745.0298507462686,556.0
sub24,24,4,121,7.0,9.0,841.99173553719,512.7851239669421
sub24,25,4,153,8.0,6.0,871.8300653594771,428.05882352941177
sub24,26,1,125,3.0,4.0,780.928,394.696
sub24,27,4,127,8.0,7.0,878.1102362204724,454.4488188976378
sub24,28,3,136,4.0,6.0,795.75,444.13235294117646
sub24,29,4,179,6.0,7.0,836.9832402234637,456.20111731843576
sub24,30,3,86,0.0,7.0,704.453488372093,467.6744186046512
sub24,31,1,90,4.0,0.0,794.7,292.1777777777778
sub24,32,2,68,7.0,2.0,857.1176470588235,340.13235294117646
sub24,33,4,71,9.0,9.0,904.2394366197183,509.2676056338028
sub24,34,3,133,3.0,7.0,776.7593984962406,467.9172932330827
sub24,35,1,88,1.0,0.0,739.3068181818181,271.28409090909093
sub24,36,1,63,1.0,2.0,738.5714285714286,353.2063492063492
sub24,37,2,149,6.0,5.0,829.6577181208054,412.1543624161074
sub24,38,2,113,6.0,3.0,832.1592920353983,361.716814159292
sub24,39,1,54,5.0,0.0,820.8148148148148,276.9074074074074
sub24,40,1,107,4.0,2.0,791.0467289719626,338.7943925233645
sub24,41,2,141,5.0,4.0,820.6028368794326,387.90070921985813
sub24,42,3,98,4.0,9.0,785.1326530612245,516.6734693877551
sub24,43,2,88,9.0,3.0,898.1818181818181,368.32954545454544
sub24,44,4,138,7.0,7.0,858.6594202898551,454.17391304347825
sub24,45,3,113,1.0,6.0,744.2300884955753,435.4513274336283
sub24,46,1,75,0.0,3.0,701.4533333333334,381.62666666666667
sub24,47,4,70,8.0,9.0,869.7,514.8428571428572
sub24,48,2,135,7.0,5.0,860.4518518518519,406.14814814814815
sub24,49,1,87,3.0,3.0,768.3103448275862,368.64367816091954
sub24,50,3,157,5.0,6.0,819.7324840764331,437.81528662420385
sub20,1,1,2168,1.0,1.0,75.76383763837639,68.66374538745387
sub20,2,3,4075,2.0,5.0,84.06601226993865,98.2841717791411
sub20,3,2,1427,9.0,3.0,201.8248072880168,79.82831114225648
sub20,4,3,2443,1.0,8.0,80.8960294719607,118.10724519033974
sub20,5,1,3866,2.0,4.0,82.97697878944646,87.09208484221418
sub20,6,1,1986,0.0,3.0,69.80664652567975,80.527693856999
sub20,7,2,412,6.0,4.0,114.26941747572816,89.96601941747574
sub20,8,3,1582,0.0,5.0,67.07774968394438,96.3109987357775
sub20,9,4,272,5.0,7.0,113.04779411764706,108.26470588235294
sub20,10,2,1207,9.0,1.0,213.92792046396022,70.72825186412594
sub20,11,3,3050,1.0,7.0,81.26524590163935,111.02065573770491
sub20,12,3,3121,2.0,9.0,88.18936238385133,137.99743671900032
sub20,13,1,2285,2.0,3.0,84.5855579868709,81.18512035010941
sub20,14,1,2764,0.0,0.0,74.82597684515196,53.15014471780029
sub20,15,1,2252,0.0,4.0,74.85879218472469,92.23623445825932
sub20,16,3,996,0.0,9.0,66.55321285140562,139.6867469879518
sub20,17,1,1846,2.0,4.0,89.72318526543879,87.26923076923077
sub20,18,4,168,6.0,9.0,120.08928571428571,129.0
sub20,19,3,1300,0.0,7.0,72.50846153846153,113.24153846153847
sub20,20,3,2397,2.0,8.0,88.17855652899458,118.73383395911556
sub20,21,4,293,9.0,8.0,176.419795221843,120.46757679180887
sub20,22,1,2204,1.0,2.0,81.35617059891108,74.48548094373865
sub20,23,3,1482,3.0,5.0,91.09581646423752,95.27327935222672
sub20,24,1,3512,1.0,4.0,80.20615034168564,92.87044419134396
sub20,25,2,487,7.0,3.0,127.81314168377824,79.02874743326488
sub20,26,4,534,9.0,6.0,203.76591760299627,101.7378277153558
sub20,27,1,3277,1.0,3.0,78.23558132438205,80.74061641745499
sub20,28,3,2448,2.0,7.0,87.81290849673202,110.58415032679738
sub20,29,1,3019,0.0,0.0,67.35674064259689,48.78668433256045
sub20,30,2,926,9.0,4.0,205.47408207343412,89.08963282937366
sub20,31,3,3238,2.0,6.0,82.64206300185299,103.85237801111798
